idiom,dict_page,pdf_page,raw_entry_head
an A for effort,1,16,an A for effort
(a little) new to (all) this,1,16,(a little) new to (all) this
abide by something,1,16,abide by something
able to breathe (easily) again,1,16,able to breathe (easily) again and able to breathe (freely) again
able to breathe (freely) again,1,16,able to breathe (easily) again and able to breathe (freely) again
able to do something blindfolded,1,16,able to do something blindfolded and able to do something standing on one’s head
able to do something standing on one’s head,1,16,able to do something blindfolded and able to do something standing on one’s head
able to do something with one’s eyes closed,1,16,able to do something with one’s eyes closed
able to fog a mirror,1,16,able to fog a mirror
able to make something,1,16,able to make something
able to take a joke,1,16,able to take a joke
able to take just so much,1,16,able to take just so much
able to take something,2,17,able to take something
above and beyond (something),2,17,above and beyond (something)
(above and) beyond the call of duty,2,17,(above and) beyond the call of duty
above average,2,17,above average
above par,2,17,above par
above reproach,2,17,above reproach
above suspicion,2,17,above suspicion
aboveboard,2,17,aboveboard and honest and aboveboard; open and aboveboard
honest and aboveboard,2,17,aboveboard and honest and aboveboard; open and aboveboard
open and aboveboard,2,17,aboveboard and honest and aboveboard; open and aboveboard
absent without leave,2,17,absent without leave and AWOL
AWOL,2,17,absent without leave and AWOL
according to all accounts,2,17,according to all accounts and by all accounts
by all accounts,2,17,according to all accounts and by all accounts
according to Hoyle,2,17,according to Hoyle
according to one’s own lights,2,17,according to one’s own lights
according to someone or something,2,17,according to someone or something
according to something,2,17,according to something
accustomed to someone or something,3,18,accustomed to someone or something
an aching heart,3,18,an aching heart
acid test,3,18,acid test
acknowledge receipt (of something),3,18,acknowledge receipt (of something)
acknowledge someone to be right,3,18,acknowledge someone to be right
acquire a taste for something,3,18,acquire a taste for something
across the board,3,18,across the board
act as someone,3,18,act as someone
act high-and-mighty,3,18,act high-and-mighty
act one’s age,3,18,act one’s age
act something out,3,18,act something out
act up,3,18,act up
Actions speak louder than words.,4,19,Actions speak louder than words.
add fuel to the fire,4,19,add fuel to the fire and add fuel to the flame
add fuel to the flame,4,19,add fuel to the fire and add fuel to the flame
add insult to injury,4,19,add insult to injury
add up (to something),4,19,add up (to something) 1.
address someone as something,4,19,address someone as something 1.
advanced in years,4,19,advanced in years
advise against something,4,19,advise against something
advise someone against doing something,4,19,advise someone against doing something
afraid of one’s own shadow,4,19,afraid of one’s own shadow
after a fashion,4,19,after a fashion
after all,4,19,after all 1.
after all is said and done,4,19,after all is said and done
after hours,4,19,after hours
after the fact,4,19,after the fact
after the fashion of someone or something,5,20,after the fashion of someone or something
again and again,5,20,again and again
against someone’s will,5,20,against someone’s will
against the clock,5,20,against the clock
ahead of one’s time,5,20,ahead of one’s time
ahead of schedule,5,20,ahead of schedule
ahead of the game,5,20,ahead of the game
ahead of time,5,20,ahead of time
aid and abet someone,5,20,aid and abet someone
aim to do something,5,20,aim to do something
Ain’t it the truth?,5,20,Ain’t it the truth?
air one’s dirty linen in public,5,20,air one’s dirty linen in public and wash one’s dirty linen in public
wash one’s dirty linen in public,5,20,air one’s dirty linen in public and wash one’s dirty linen in public
air one’s grievances,5,20,air one’s grievances
air something out,5,20,air something out
alive and kicking,6,21,alive and kicking and alive and well
alive and well,6,21,alive and kicking and alive and well
alive with someone or something,6,21,alive with someone or something
all and sundry,6,21,all and sundry
all around Robin Hood’s barn,6,21,all around Robin Hood’s barn
all at once,6,21,all at once 1.
(all) at sea (about something),6,21,(all) at sea (about something)
(all) balled up,6,21,(all) balled up
(all) beer and skittles,6,21,(all) beer and skittles
all better now,6,21,all better now
all day long,6,21,all day long
all dressed up,6,21,all dressed up
all for something,6,21,all for something
(all) for the best,6,21,(all) for the best
all gone,6,21,all gone
all in,6,21,all in
all in a day’s work,6,21,all in a day’s work
all in all,6,21,all in all
all in good time,7,22,all in good time
(all) in one breath,7,22,(all) in one breath
all in one piece,7,22,all in one piece
(all) in the family,7,22,(all) in the family
(all) joking aside,7,22,(all) joking aside and (all) kidding aside
(all) kidding aside,7,22,(all) joking aside and (all) kidding aside
all kinds of someone or something,7,22,all kinds of someone or something
all manner of someone or something,7,22,all manner of someone or something
all night long,7,22,all night long
all of a sudden,7,22,all of a sudden
all or nothing,7,22,all or nothing 1.
an all-out effort,7,22,an all-out effort
all-out war,7,22,all-out war
all over,7,22,all over 1.
(all) over again,7,22,(all) over again
all over but the shouting,7,22,all over but the shouting
all over the earth,8,23,all over the earth and all over the world
all over the world,8,23,all over the earth and all over the world
all over the place,8,23,all over the place
all over town,8,23,all over town 1.
(all) over with,8,23,(all) over with
all right,8,23,all right 1.
All right for you!,8,23,All right for you!
all right with someone,8,23,all right with someone
all set,8,23,all set
(all) set to do something,8,23,(all) set to do something
(all) shot to hell,8,23,(all) shot to hell
(all) skin and bones,8,23,(all) skin and bones
all sweetness and light,8,23,all sweetness and light
all systems (are) go,8,23,all systems (are) go
all talk (and no action),8,23,all talk (and no action)
All that glitters is not gold.,8,23,All that glitters is not gold.
all the livelong day,8,23,all the livelong day
all the rage,8,23,all the rage
all the same,8,23,all the same and just the same
just the same,8,23,all the same and just the same
all the same (to someone),9,24,all the same (to someone) and just the same (to someone)
just the same (to someone),9,24,all the same (to someone) and just the same (to someone)
all the time,9,24,all the time 1.
all the way,9,24,all the way
all thumbs,9,24,all thumbs
all told,9,24,all told
all to the good,9,24,all to the good
(all) tuckered out,9,24,(all) tuckered out
all walks of life,9,24,all walks of life
(all) well and good,9,24,(all) well and good
all wet,9,24,all wet
all wool and a yard wide,9,24,all wool and a yard wide
All work and no play makes Jack a dull boy.,9,24,All work and no play makes Jack a dull boy.
(all) worked up (about something),9,24,(all) worked up (about something)
(all) worked up (over something),9,24,(all) worked up (over something) and (all) worked up (about something)
(all) year round,9,24,(all) year round
allow for someone or something,9,24,allow for someone or something 1.
All’s well that ends well.,10,25,All’s well that ends well.
almost lost it,10,25,almost lost it
along in years,10,25,along in years
along with someone or something,10,25,along with someone or something
alongside (of) someone or something,10,25,alongside (of) someone or something
alpha and omega,10,25,alpha and omega
amount to something,10,25,amount to something
amount to the same thing,10,25,amount to the same thing and come to the same thing
come to the same thing,10,25,amount to the same thing and come to the same thing
and change,10,25,and change
and so forth,10,25,and so forth
and something to spare,10,25,and something to spare and with something to spare
with something to spare,10,25,and something to spare and with something to spare
and so on,10,25,and so on
and the like,10,25,and the like
and then some,10,25,and then some
and what have you,11,26,and what have you
angry enough to chew nails,11,26,angry enough to chew nails
another country heard from,11,26,another country heard from
(another) nail in someone’s or something’s coffin,11,26,(another) nail in someone’s or something’s coffin
answer for someone or something,11,26,answer for someone or something
answer someone’s purpose,11,26,answer someone’s purpose and serve someone’s purpose
serve someone’s purpose,11,26,answer someone’s purpose and serve someone’s purpose
answer the door,11,26,answer the door
answer to someone,11,26,answer to someone
any number of someone or something,11,26,any number of someone or something
Any port in a storm.,11,26,Any port in a storm.
appear as something,11,26,appear as something
appear out of nowhere,11,26,appear out of nowhere
apples and oranges,11,26,apples and oranges
arguing for the sake of arguing,11,26,arguing for the sake of arguing and arguing for the sake of argument
arguing for the sake of argument,11,26,arguing for the sake of arguing and arguing for the sake of argument
arm in arm,11,26,arm in arm
armed and dangerous,12,27,armed and dangerous
armed to the teeth,12,27,armed to the teeth
(a)round the clock,12,27,(a)round the clock
(a)round-the-clock,12,27,(a)round-the-clock
arrange something with someone,12,27,arrange something with someone 1. and arrange to do something with someone
arrange to do something with someone,12,27,arrange something with someone 1. and arrange to do something with someone
arrive in a body,12,27,arrive in a body
arrive on the scene,12,27,arrive on the scene
as a duck takes to water,12,27,as a duck takes to water
as a (general) rule,12,27,as a (general) rule
as a last resort,12,27,as a last resort
as alike as (two) peas in a pod,12,27,as alike as (two) peas in a pod
as a matter of course,12,27,as a matter of course
as a matter of fact,12,27,as a matter of fact
as an aside,12,27,as an aside
as a result of something,12,27,as a result of something
as a token (of something),12,27,as a token (of something)
(as) awkward as a cow on a crutch,12,27,(as) awkward as a cow on a crutch and (as) awkward as a cow on roller skates
(as) awkward as a cow on roller skates,12,27,(as) awkward as a cow on a crutch and (as) awkward as a cow on roller skates
(as) bad as all that,13,28,(as) bad as all that
(as) bald as a baby’s backside,13,28,(as) bald as a baby’s backside
(as) bald as a coot,13,28,(as) bald as a coot and (as) bald as a baby’s backside
(as) baleful as death,13,28,(as) baleful as death
(as) big as all outdoors,13,28,(as) big as all outdoors
(as) big as life,13,28,(as) big as life and (as) big as life and twice as ugly
(as) big as life and twice as ugly,13,28,(as) big as life and (as) big as life and twice as ugly
(as) black as a skillet,13,28,(as) black as a skillet
(as) black as a stack of black cats,13,28,(as) black as a stack of black cats
(as) black as a sweep,13,28,(as) black as a sweep
(as) black as coal,13,28,(as) black as coal
(as) black as night,13,28,(as) black as night
(as) black as one is painted,13,28,(as) black as one is painted
(as) black as pitch,13,28,(as) black as pitch
(as) black as the ace of spades,13,28,(as) black as the ace of spades
(as) blind as a bat,13,28,(as) blind as a bat
(as) bold as brass,13,28,(as) bold as brass
(as) bright as a button,13,28,(as) bright as a button
(as) bright as a new pin,13,28,(as) bright as a new pin
(as) broad as a barn door,13,28,(as) broad as a barn door
(as) busy as a beaver,14,29,(as) busy as a beaver and (as) busy as a bee
(as) busy as a bee,14,29,(as) busy as a beaver and (as) busy as a bee
(as) busy as a cat on a hot tin roof,14,29,(as) busy as a cat on a hot tin roof
(as) busy as a hibernating bear,14,29,(as) busy as a hibernating bear
(as) busy as a one-armed paperhanger,14,29,(as) busy as a one-armed paperhanger
(as) busy as Grand Central Station,14,29,(as) busy as Grand Central Station
(as) busy as popcorn on a skillet,14,29,(as) busy as popcorn on a skillet
(as) calm as a toad in the sun,14,29,(as) calm as a toad in the sun
(as) clean as a hound’s tooth,14,29,(as) clean as a hound’s tooth
(as) clean as a whistle,14,29,(as) clean as a whistle
(as) clear as a bell,14,29,(as) clear as a bell
(as) clear as crystal,14,29,(as) clear as crystal 1.
(as) clear as mud,14,29,(as) clear as mud
(as) clear as vodka,14,29,(as) clear as vodka 1.
(as) close as two coats of paint,14,29,(as) close as two coats of paint
(as) cocky as the king of spades,14,29,(as) cocky as the king of spades
(as) cold as a witch’s caress,14,29,(as) cold as a witch’s caress and (as) cold as a witch’s tit
(as) cold as a witch’s tit,14,29,(as) cold as a witch’s caress and (as) cold as a witch’s tit
(as) cold as marble,14,29,(as) cold as marble
(as) comfortable as an old shoe,15,30,(as) comfortable as an old shoe
(as) common as an old shoe,15,30,(as) common as an old shoe
(as) common as dirt,15,30,(as) common as dirt
(as) conceited as a barber’s cat,15,30,(as) conceited as a barber’s cat
(as) cool as a cucumber,15,30,(as) cool as a cucumber
(as) crazy as a betsy bug,15,30,(as) crazy as a betsy bug
(as) crazy as a loon,15,30,(as) crazy as a loon
(as) crazy as a peach-orchard boar,15,30,(as) crazy as a peach-orchard boar
(as) crooked as a barrel of fishhooks,15,30,(as) crooked as a barrel of fishhooks and (as) crooked as a fishhook
(as) crooked as a fishhook,15,30,(as) crooked as a barrel of fishhooks and (as) crooked as a fishhook
(as) crooked as a dog’s hind leg,15,30,(as) crooked as a dog’s hind leg
(as) dead as a dodo,15,30,(as) dead as a dodo
(as) dead as a doornail,15,30,(as) dead as a doornail
(as) deaf as a post,15,30,(as) deaf as a post
(as) different as night and day,15,30,(as) different as night and day
(as) drunk as a lord,15,30,(as) drunk as a lord and (as) drunk as a skunk
(as) drunk as a skunk,15,30,(as) drunk as a lord and (as) drunk as a skunk
(as) dry as a bone,15,30,(as) dry as a bone
(as) dry as dust,15,30,(as) dry as dust 1.
(as) dull as dishwater,16,31,(as) dull as dishwater and (as) dull as ditchwater
(as) dull as ditchwater,16,31,(as) dull as dishwater and (as) dull as ditchwater
(as) easy as ABC,16,31,(as) easy as ABC
(as) easy as (apple) pie,16,31,(as) easy as (apple) pie
(as) easy as duck soup,16,31,(as) easy as duck soup
(as) easy as falling off a log,16,31,(as) easy as falling off a log and (as) easy as rolling off a log
(as) easy as rolling off a log,16,31,(as) easy as falling off a log and (as) easy as rolling off a log
(as) exciting as watching (the) paint dry,16,31,(as) exciting as watching (the) paint dry
(as) far as anyone knows,16,31,(as) far as anyone knows and so far as anyone knows
so far as anyone knows,16,31,(as) far as anyone knows and so far as anyone knows
as far as it goes,16,31,as far as it goes
as far as possible,16,31,as far as possible and so far as possible
so far as possible,16,31,as far as possible and so far as possible
(as) far as someone or something is concerned,16,31,(as) far as someone or something is concerned and so far as someone or something is concerned 1.
so far as someone or something is concerned,16,31,(as) far as someone or something is concerned and so far as someone or something is concerned 1.
(as) fat as a pig,16,31,(as) fat as a pig
(as) fit as a fiddle,16,31,(as) fit as a fiddle
(as) flat as a board,16,31,(as) flat as a board
(as) flat as a pancake,16,31,(as) flat as a pancake
as for someone or something,16,31,as for someone or something 1. and as to someone or something
as to someone or something,16,31,as for someone or something 1. and as to someone or something
(as) free as a bird,17,32,(as) free as a bird
(as) free as (the) air,17,32,(as) free as (the) air
(as) fresh as a daisy,17,32,(as) fresh as a daisy
(as) full as a tick,17,32,(as) full as a tick and (as) tight as a tick
(as) tight as a tick,17,32,(as) full as a tick and (as) tight as a tick
(as) funny as a barrel of monkeys,17,32,(as) funny as a barrel of monkeys and more fun than a barrel of monkeys
more fun than a barrel of monkeys,17,32,(as) funny as a barrel of monkeys and more fun than a barrel of monkeys
(as) funny as a crutch,17,32,(as) funny as a crutch
(as) gaudy as a butterfly,17,32,(as) gaudy as a butterfly
(as) gentle as a lamb,17,32,(as) gentle as a lamb
(as) good as done,17,32,(as) good as done
(as) good as gold,17,32,(as) good as gold
as good as one’s word,17,32,as good as one’s word
(as) graceful as a swan,17,32,(as) graceful as a swan
(as) gruff as a bear,17,32,(as) gruff as a bear
(as) happy as a clam,17,32,(as) happy as a clam
(as) happy as a lark,17,32,(as) happy as a lark
(as) happy as can be,17,32,(as) happy as can be
(as) hard as a rock,17,32,(as) hard as a rock and (as) hard as stone
(as) hard as stone,17,32,(as) hard as a rock and (as) hard as stone
(as) hard as nails,17,32,(as) hard as nails
(as) high as a kite,18,33,(as) high as a kite and (as) high as the sky 1.
(as) high as the sky,18,33,(as) high as a kite and (as) high as the sky 1.
(as) hoarse as a crow,18,33,(as) hoarse as a crow
(as) hot as fire,18,33,(as) hot as fire
(as) hot as hell,18,33,(as) hot as hell
(as) hungry as a bear,18,33,(as) hungry as a bear
(as) hungry as a hunter,18,33,(as) hungry as a hunter
as I expected,18,33,as I expected
(as) innocent as a lamb,18,33,(as) innocent as a lamb
as it were,18,33,as it were
(as) large as life,18,33,(as) large as life
(as) light as a feather,18,33,(as) light as a feather
(as) likely as not,18,33,(as) likely as not
as long as,18,33,as long as 1. and so long as
so long as,18,33,as long as 1. and so long as
as luck would have it,18,33,as luck would have it
(as) mad as a hatter,18,33,(as) mad as a hatter 1.
(as) mad as a hornet,18,33,(as) mad as a hornet
(as) mad as a March hare,18,33,(as) mad as a March hare
(as) mad as a wet hen,19,34,(as) mad as a wet hen
(as) mad as hell,19,34,(as) mad as hell
(as) meek as a lamb,19,34,(as) meek as a lamb
(as) merry as a cricket,19,34,(as) merry as a cricket
(as) merry as the day is long,19,34,(as) merry as the day is long
as much fun as a barrel of monkeys,19,34,as much fun as a barrel of monkeys
(as) naked as a jaybird,19,34,(as) naked as a jaybird
(as) neat as a pin,19,34,(as) neat as a pin
(as) nutty as a fruitcake,19,34,(as) nutty as a fruitcake
(as) old as the hills,19,34,(as) old as the hills
as one,19,34,as one
(as) pale as a ghost,19,34,(as) pale as a ghost
(as) pale as death,19,34,(as) pale as death
(as) patient as Job,19,34,(as) patient as Job
(as) phony as a three-dollar bill,19,34,(as) phony as a three-dollar bill
(as) plain as a pikestaff,19,34,(as) plain as a pikestaff
(as) plain as day,19,34,(as) plain as day 1.
(as) plain as the nose on one’s face,19,34,(as) plain as the nose on one’s face
(as) pleased as punch,20,35,(as) pleased as punch
(as) poor as a church mouse,20,35,(as) poor as a church mouse
(as) pretty as a picture,20,35,(as) pretty as a picture
(as) proud as a peacock,20,35,(as) proud as a peacock
(as) pure as the driven snow,20,35,(as) pure as the driven snow
(as) queer as a three-dollar bill,20,35,(as) queer as a three-dollar bill
(as) quick as a flash,20,35,(as) quick as a flash
(as) quick as a wink,20,35,(as) quick as a wink and (as) quick as a flash
(as) quick as greased lightning,20,35,(as) quick as greased lightning
(as) quiet as a mouse,20,35,(as) quiet as a mouse
(as) quiet as the grave,20,35,(as) quiet as the grave
(as) red as a cherry,20,35,(as) red as a cherry
(as) red as a poppy,20,35,(as) red as a poppy
(as) red as a rose,20,35,(as) red as a rose
(as) red as a ruby,20,35,(as) red as a ruby
(as) red as blood,20,35,(as) red as blood
(as) regular as clockwork,20,35,(as) regular as clockwork
(as) right as rain,20,35,(as) right as rain
(as) scarce as hens’ teeth,20,35,(as) scarce as hens’ teeth and scarcer than hens’ teeth
scarcer than hens’ teeth,20,35,(as) scarce as hens’ teeth and scarcer than hens’ teeth
(as) sharp as a razor,21,36,(as) sharp as a razor 1.
(as) sharp as a tack,21,36,(as) sharp as a tack
(as) sick as a dog,21,36,(as) sick as a dog
(as) silent as the dead,21,36,(as) silent as the dead and (as) silent as the grave
(as) silent as the grave,21,36,(as) silent as the dead and (as) silent as the grave
(as) silly as a goose,21,36,(as) silly as a goose
(as) slick as a whistle,21,36,(as) slick as a whistle
(as) slippery as an eel,21,36,(as) slippery as an eel
(as) slow as molasses in January,21,36,(as) slow as molasses in January and slower than molasses in January
slower than molasses in January,21,36,(as) slow as molasses in January and slower than molasses in January
(as) sly as a fox,21,36,(as) sly as a fox
(as) smooth as glass,21,36,(as) smooth as glass
(as) smooth as silk,21,36,(as) smooth as silk
(as) snug as a bug in a rug,21,36,(as) snug as a bug in a rug
(as) sober as a judge,21,36,(as) sober as a judge 1.
(as) soft as a baby’s bottom,21,36,(as) soft as a baby’s bottom
(as) soft as down,21,36,(as) soft as down
(as) soft as silk,21,36,(as) soft as silk
(as) soft as velvet,21,36,(as) soft as velvet
(as) solid as a rock,22,37,(as) solid as a rock
as soon as,22,37,as soon as
(as) soon as possible,22,37,(as) soon as possible
(as) sound as a dollar,22,37,(as) sound as a dollar 1.
(as) sour as vinegar,22,37,(as) sour as vinegar
(as) steady as a rock,22,37,(as) steady as a rock
(as) stiff as a poker,22,37,(as) stiff as a poker
(as) still as death,22,37,(as) still as death
(as) straight as an arrow,22,37,(as) straight as an arrow 1.
(as) strong as a horse,22,37,(as) strong as a horse
(as) strong as a lion,22,37,(as) strong as a lion
(as) strong as an ox,22,37,(as) strong as an ox
(as) stubborn as a mule,22,37,(as) stubborn as a mule
as such,22,37,as such
(as) sure as death,22,37,(as) sure as death
(as) sweet as honey,22,37,(as) sweet as honey and (as) sweet as sugar 1.
(as) sweet as sugar,22,37,(as) sweet as honey and (as) sweet as sugar 1.
(as) swift as an arrow,22,37,(as) swift as an arrow
(as) swift as the wind,22,37,(as) swift as the wind
(as) swift as thought,23,38,(as) swift as thought
as the crow flies,23,38,as the crow flies
(as) thick as pea soup,23,38,(as) thick as pea soup
(as) thick as thieves,23,38,(as) thick as thieves
(as) tight as a drum,23,38,(as) tight as a drum 1.
(as) tight as Dick’s hatband,23,38,(as) tight as Dick’s hatband
(as) tough as an old boot,23,38,(as) tough as an old boot 1.
(as) true as steel,23,38,(as) true as steel
(as) ugly as a toad,23,38,(as) ugly as a toad
(as) ugly as sin,23,38,(as) ugly as sin
as usual,23,38,as usual
(as) warm as toast,23,38,(as) warm as toast
(as) weak as a baby,23,38,(as) weak as a baby
(as) weak as a kitten,23,38,(as) weak as a kitten
as well,23,38,as well
as well as,23,38,as well as 1.
(as) white as a ghost,23,38,(as) white as a ghost and (as) pale as a ghost
(as) white as a sheet,23,38,(as) white as a sheet
(as) white as the driven snow,23,38,(as) white as the driven snow
(as) wise as an owl,24,39,(as) wise as an owl
(as) wise as Solomon,24,39,(as) wise as Solomon
aside from someone or something,24,39,aside from someone or something
ask for something,24,39,ask for something
ask for the moon,24,39,ask for the moon
ask for trouble,24,39,ask for trouble and look for trouble
look for trouble,24,39,ask for trouble and look for trouble
ask someone out,24,39,ask someone out
asleep at the switch,24,39,asleep at the switch
assault and battery,24,39,assault and battery
assault the ears,24,39,assault the ears
assemble a case (against someone),24,39,assemble a case (against someone)
assume liability,24,39,assume liability
at all,24,39,at all
at all costs,24,39,at all costs and at any cost
at any cost,24,39,at all costs and at any cost
at all times,24,39,at all times
at a loss (for words),24,39,at a loss (for words)
at an early date,24,39,at an early date
at any rate,24,39,at any rate
at a premium,24,39,at a premium
at a set time,25,40,at a set time
at a sitting,25,40,at a sitting
at a snail’s pace,25,40,at a snail’s pace
at a stretch,25,40,at a stretch
at bay,25,40,at bay
at best,25,40,at best and at most
at most,25,40,at best and at most
at close range,25,40,at close range
at cross-purposes,25,40,at cross-purposes
at death’s door,25,40,at death’s door
at ease,25,40,at ease
at every turn,25,40,at every turn
at face value,25,40,at face value
at first,25,40,at first
at first blush,25,40,at first blush
at first glance,25,40,at first glance and at first blush
(at) full blast,25,40,(at) full blast
at full speed,25,40,at full speed and at full tilt
at full tilt,25,40,at full speed and at full tilt
at half-mast,25,40,at half-mast
at hand,25,40,at hand
at hazard,26,41,at hazard
at home,26,41,at home
at home with someone or something,26,41,at home with someone or something
at it again,26,41,at it again
at large,26,41,at large 1.
at last,26,41,at last
at least,26,41,at least 1.
at leisure,26,41,at leisure 1.
one’s leisure,26,41,one’s leisure
at length,26,41,at length 1.
at liberty,26,41,at liberty
at loggerheads (with someone),26,41,at loggerheads (with someone)
at (long) last,26,41,at (long) last
at loose ends,26,41,at loose ends
at night,26,41,at night
at odds (with someone),26,41,at odds (with someone)
at once,26,41,at once
at one fell swoop,26,41,at one fell swoop and in one fell swoop
in one fell swoop,26,41,at one fell swoop and in one fell swoop
at one’s best,27,42,at one’s best
at one’s leisure,27,42,at one’s leisure
at one’s wit’s end,27,42,at one’s wit’s end
at peace,27,42,at peace 1.
at play,27,42,at play
at present,27,42,at present
at random,27,42,at random
at regular intervals,27,42,at regular intervals
at rest,27,42,at rest
at risk,27,42,at risk
at sea,27,42,at sea
at sea (about something),27,42,at sea (about something)
at sea level,27,42,at sea level
at sixes and sevens,27,42,at sixes and sevens
at some length,27,42,at some length
at someone’s beck and call,27,42,at someone’s beck and call
at someone’s doorstep,27,42,at someone’s doorstep and on someone’s doorstep
on someone’s doorstep,27,42,at someone’s doorstep and on someone’s doorstep
at someone’s earliest convenience,27,42,at someone’s earliest convenience
at someone’s mercy,27,42,at someone’s mercy
at someone’s request,27,42,at someone’s request
at someone’s service,27,42,at someone’s service
at some time sharp,28,43,at some time sharp
at stake,28,43,at stake
at that rate,28,43,at that rate
at the appointed time,28,43,at the appointed time
at the bottom of the hour,28,43,at the bottom of the hour
at the bottom of the ladder,28,43,at the bottom of the ladder
at the break of dawn,28,43,at the break of dawn
at the crack of dawn,28,43,at the crack of dawn and at the break of dawn
at the drop of a hat,28,43,at the drop of a hat
at the eleventh hour,28,43,at the eleventh hour
at the end of nowhere,28,43,at the end of nowhere
at the end of one’s rope,28,43,at the end of one’s rope and at the end of one’s tether
at the end of one’s tether,28,43,at the end of one’s rope and at the end of one’s tether
at the end of the day,28,43,at the end of the day
at the expense of someone or something,28,43,at the expense of someone or something
at the forefront (of something),28,43,at the forefront (of something) and in the forefront (of something)
in the forefront (of something),28,43,at the forefront (of something) and in the forefront (of something)
at the height of something,28,43,at the height of something
at the helm (of something),28,43,at the helm (of something)
at the last gasp,28,43,at the last gasp
at the last minute,29,44,at the last minute
at the latest,29,44,at the latest
at the mercy of someone,29,44,at the mercy of someone and at someone’s mercy
at the outset,29,44,at the outset
at the point of doing something,29,44,at the point of doing something
at the present time,29,44,at the present time and at this point (in time)
at this point (in time),29,44,at the present time and at this point (in time)
at the rear of something,29,44,at the rear of something
at the same time,29,44,at the same time
at the top of one’s lungs,29,44,at the top of one’s lungs
at the top of one’s voice,29,44,at the top of one’s voice and at the top of one’s lungs
at the top of the hour,29,44,at the top of the hour
at the (very) outside,29,44,at the (very) outside
at (the) worst,29,44,at (the) worst
at the zenith of something,29,44,at the zenith of something
at this juncture,29,44,at this juncture
at this rate,29,44,at this rate
at this stage,29,44,at this stage
at this stage of the game,29,44,at this stage of the game and at this stage
at times,29,44,at times
at will,30,45,at will
at work,30,45,at work 1.
at worst,30,45,at worst
attached to someone or something,30,45,attached to someone or something
attract someone’s attention,30,45,attract someone’s attention
augur well for someone or something,30,45,augur well for someone or something
avail oneself of something,30,45,avail oneself of something
avenue of escape,30,45,avenue of escape
avoid someone or something like the plague,30,45,avoid someone or something like the plague
away from one’s desk,30,45,away from one’s desk
awkward as a cow on a crutch,30,45,awkward as a cow on a crutch
awkward as a cow on roller skates,30,45,awkward as a cow on roller skates
a babe in the woods,31,46,a babe in the woods
back and fill,31,46,back and fill
back and forth,31,46,back and forth
back down (from someone or something),31,46,back down (from someone or something) and back off (from someone or something)
back off (from someone or something),31,46,back down (from someone or something) and back off (from someone or something)
back East,31,46,back East
back in circulation,31,46,back in circulation 1.
back of the beyond,31,46,back of the beyond
back order something,31,46,back order something
back out (of something),31,46,back out (of something)
back someone or something up,32,47,back someone or something up
back the wrong horse,32,47,back the wrong horse
back-to-back,32,47,back-to-back 1.
back to square one,32,47,back to square one
back to the drawing board,32,47,back to the drawing board
back to the salt mines,32,47,back to the salt mines
bad as all that,32,47,bad as all that
bad blood (between people),32,47,bad blood (between people)
bad-mouth someone or something,32,47,bad-mouth someone or something
bag and baggage,32,47,bag and baggage and part and parcel
part and parcel,32,47,bag and baggage and part and parcel
bag of tricks,32,47,bag of tricks
bail out (of something),32,47,bail out (of something) 1.
bail someone or something out,32,47,bail someone or something out 1.
bait and switch,33,48,bait and switch
balance the accounts,33,48,balance the accounts 1. and balance the books
balance the books,33,48,balance the accounts 1. and balance the books
bald as a baby’s backside,33,48,bald as a baby’s backside
bald as a coot,33,48,bald as a coot
baleful as death,33,48,baleful as death
ball and chain,33,48,ball and chain
ball of fire,33,48,ball of fire
balled up,33,48,balled up
the balls of one’s feet,33,48,the balls of one’s feet
bang one’s head against a brick wall,33,48,bang one’s head against a brick wall
bank on something,33,48,bank on something
baptism of fire,33,48,baptism of fire
the bare something,33,48,the bare something
bargain for something,33,48,bargain for something and bargain on something
bargain on something,33,48,bargain for something and bargain on something
barge in (on someone or something),33,48,barge in (on someone or something)
bark up the wrong tree,33,48,bark up the wrong tree
base one’s opinion on something,33,48,base one’s opinion on something
batten down the hatches,34,49,batten down the hatches
battle something out,34,49,battle something out
bawl someone out,34,49,bawl someone out
be about something,34,49,be about something
be a heartbeat away from something,34,49,be a heartbeat away from something
be-all and (the) end-all,34,49,be-all and (the) end-all
the be-all and (the) end-all,34,49,the be-all and (the) end-all
be all ears,34,49,be all ears
be all eyes (and ears),34,49,be all eyes (and ears)
be all things to all men,34,49,be all things to all men and be all things to all people
be all things to all people,34,49,be all things to all men and be all things to all people
be a million miles away,34,49,be a million miles away
be a new one on someone,34,49,be a new one on someone
be curtains for someone or something,34,49,be curtains for someone or something
be death on something,34,49,be death on something
(be) easier said than done,35,50,(be) easier said than done
be flying high,35,50,be flying high 1.
be friends with someone,35,50,be friends with someone
be from Missouri,35,50,be from Missouri
be game,35,50,be game
be into something,35,50,be into something
be off,35,50,be off 1.
be off on the wrong foot,35,50,be off on the wrong foot and be off to a bad start
be off to a bad start,35,50,be off on the wrong foot and be off to a bad start
be of service (to someone),35,50,be of service (to someone)
be of the persuasion that something is so,35,50,be of the persuasion that something is so
be reluctant to do something,35,50,be reluctant to do something
be sick,35,50,be sick
be so,35,50,be so
be swimming in something,35,50,be swimming in something
be that as it may,35,50,be that as it may
be the case,35,50,be the case
be the death of me (yet),35,50,be the death of me (yet)
be the last straw,36,51,be the last straw and be the straw that broke the camel’s back
